Gene,Gene Symbol,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of log2(FC),-log10(FDR P),FC
ENSMUSG00000031774,Fam192a,Age,18,1,-0.1146,0.1983,-0.5033,0.2741,0.33,0.5634,0.9828755512,-0.165308696,0.2861283228,0.0075014678,0.8917376924
ENSMUSG00000031776,Arl2bp,Age,18,1,-0.3464,0.2185,-0.7747,0.0818,2.51,0.1128,0.7217330942,-0.499804214,0.3152296684,0.1416233802,0.707202748
ENSMUSG00000031779,Ccl22,Age,18,1,0.5695,0.8328,-1.0628,2.2017,0.47,0.4941,0.9709962283,0.8215608709,1.2014439339,0.0127824571,1.7673170424
ENSMUSG00000031780,Ccl17,Age,18,1,-0.1804,2.1873,-4.4673,4.1066,0.01,0.9343,0.9999208275,-0.260254638,3.1555522828,0.0000343855,0.8349405382
ENSMUSG00000031781,Ciapin1,Age,18,1,-0.2155,0.3525,-0.9065,0.4755,0.37,0.5410,0.9796438582,-0.310930072,0.5086114851,0.00893178,0.8061219036
ENSMUSG00000031782,Coq9,Age,18,1,0.3604,0.4860,-0.5922,1.3130,0.55,0.4584,0.9641431125,0.5199479871,0.7011568717,0.0158584968,1.4339035512
ENSMUSG00000031783,Polr2c,Age,18,1,-0.0833,0.2360,-0.5458,0.3792,0.12,0.7242,0.995805013,-0.120134631,0.3404427595,0.0018256918,0.9201017834
ENSMUSG00000031785,Adgrg1,Age,18,1,-0.5638,0.2883,-1.1288,0.0012,3.83,0.0505,0.5852241531,-0.813440882,0.4158813072,0.2326777582,0.5690230967
ENSMUSG00000031787,Katnb1,Age,18,1,0.8456,0.4392,-0.0152,1.7064,3.71,0.0542,0.5983521789,1.2199578379,0.6336240084,0.2230431231,2.3293990963
ENSMUSG00000031788,Kifc3,Age,18,1,0.0347,0.5362,-1.0163,1.0856,0.00,0.9485,0.9999208275,0.0500007473,0.7735830943,0.0000343855,1.0352654601
ENSMUSG00000031789,Cngb1,Age,18,1,-0.0744,1.0550,-2.1422,1.9935,0.00,0.9438,0.9999208275,-0.107279144,1.5220989744,0.0000343855,0.9283372128
ENSMUSG00000031790,Mmp15,Age,18,1,0.0710,0.9718,-1.8337,1.9756,0.01,0.9418,0.9999208275,0.1023701085,1.4019908812,0.0000343855,1.0735356555
ENSMUSG00000031791,Tmem38a,Age,18,1,-0.1482,0.4172,-0.9659,0.6696,0.13,0.7225,0.995805013,-0.213775491,0.6019329426,0.0018256918,0.8622777202
ENSMUSG00000031792,Usb1,Age,18,1,0.2935,0.3052,-0.3046,0.8916,0.92,0.3362,0.9139428031,0.4234265659,0.4402586251,0.0390809827,1.3411090626
ENSMUSG00000031796,Cfap20,Age,18,1,0.5451,0.5658,-0.5639,1.6541,0.93,0.3354,0.9133945408,0.7863690004,0.8163140953,0.0393415884,1.7247281701
ENSMUSG00000031799,Tpm4,Age,18,1,-0.4558,0.2485,-0.9428,0.0312,3.36,0.0666,0.6410322249,-0.657581963,0.358500763,0.1931201378,0.6339399254
ENSMUSG00000031803,B3gnt3,Age,18,1,0.4703,0.6761,-0.8549,1.7955,0.48,0.4867,0.9702130689,0.6785520777,0.9754561156,0.0131328796,1.6005326171
ENSMUSG00000031805,Jak3,Age,18,1,0.4899,0.2530,-0.0059,0.9857,3.75,0.0528,0.5915869798,0.7067835823,0.3649428317,0.2279813929,1.6321612346
ENSMUSG00000031807,Pgls,Age,18,1,0.3304,0.2882,-0.2344,0.8952,1.31,0.2516,0.8746326638,0.4766469036,0.4157192512,0.0581743076,1.3915057822
ENSMUSG00000031808,Slc27a1,Age,18,1,0.7285,0.3903,-0.0364,1.4934,3.48,0.0620,0.6270084825,1.051006271,0.5630565338,0.2027265838,2.0719745334
ENSMUSG00000031812,Map1lc3b,Age,18,1,-0.2277,0.2679,-0.7527,0.2973,0.72,0.3953,0.9421764412,-0.328525699,0.3864519412,0.0258677593,0.7963498639
